カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
全裸 キャロリ	キャロリ・メイト	３６	１９歳	１５６ｃｍ	？？	ランス城看護婦	盗賊１、薬剤１	ランスに無理やりレイプされたところ	なぜかミドリ病が治った	"\"""	レイプされたのは最悪だけど、ランスさんには	感謝しています。いや普通に最悪でしたけどね	Lv36 キャロリ	"\"""			
													緑化病 キャロリ				
													全裸 キャロリ				
Lv10 アタゴ	アタゴ・マカット	１０	２７歳	１６０ｃｍ	？？	酒場の店長	料理１、踊り１	事あるごとにランスに振り回される酒場の店長	昔は明るく人気者のウェイトレスだった	"\"""	酒場の人気メニューは葡萄ごはん。葡萄に含まれる	プラシーヴォ効果がお肌に潤いを与えます	Lv10 アタゴ	ホルス テラ			
													全裸 アタゴ				
全裸 アタゴ	アタゴ・マカット	１０	２７歳	１６０ｃｍ	？？	酒場の店長	料理１、踊り１	最初は野盗を退治してくれたランスに感謝していたが	調子にのったランスに散々と酷い目にあわされた	"\"""	舞姫ローションというアイテムを無理やり塗りたくられ	踊り子としての才能を開花させられてしまっている	Lv10 アタゴ	ホルス テラ			
													全裸 アタゴ				
Lv20 カロリア	カロリア・クリケット	２０	１８歳	１４６ｃｍ	？？	ムシ使い	ムシ使い１	ゼスで迫害を受け全滅したムシ使いの最後の生き残り	"\"""	自分のことを人から忌み嫌われた存在だと思い	小さな頃から一人で暮してきた	人見知りで、とても優しい女の子。かなぶんが好き	Lv20 カロリア	Lv6 キムチ			
													Lv42 カロリア	Lv28 ピグ			
													全裸 カロリア	魔人 ガルティア			
Lv42 カロリア	カロリア・クリケット	４２	１８歳	１４６ｃｍ	？？	ムシ使い	ムシ使い１	カロリアは体内に四匹のムシを飼っている	 毒やん：毒の生成、および解毒を行う	 あげは：センサー機能を持ち、隠れた物を見つける	 じいさま：硬質化した外皮を広げてカロリアの身を守る	 火の子：炎を吐く。いぶし銀のにくいやつ	Lv20 カロリア	Lv6 キムチ			
													Lv42 カロリア	Lv28 ピグ			
													全裸 カロリア	魔人 ガルティア			
全裸 カロリア	カロリア・クリケット	２０	１８歳	１４６ｃｍ	？？	ムシ使い	ムシ使い１	ランスのことは大好き	ランスがエッチしたいと言うならしてあげたい	と思うが、体内のムシたちは何かと反対してくる	"\"""	"\"""	Lv20 カロリア	Lv6 キムチ			
													Lv42 カロリア	Lv28 ピグ			
													全裸 カロリア	魔人 ガルティア			
Lv40 クルックー	クルックー・モフス	４０	１７歳	１４９ｃｍ	？？	ＡＬ教法王	神魔法３、冒険１	世界宗教ＡＬ教の最高権力者	無表情で口数も少なく、何を考えているのか	よくわからないが、ランスの望みは	だいたい言う事を聞く。	貝の収集というランスと共通の趣味を持っている	Lv40 クルックー	Lv42 ランス			
													Lv45 クルックー	Lv37 ロードリング			
													Lv50 クルックー	Lv38 アルカネーゼ			
													タイニー クルックー	Lv28 サチコ			
													全裸 クルックー	Lv46 アム			
Lv45 クルックー	クルックー・モフス	４５	１７歳	１４９ｃｍ	？？	ＡＬ教法王	神魔法３、冒険１	前法王の娘だったが、女ゆえ教会内での立場が弱く	部下もおらず、司教の任務を一人でこなしてきた	そのため冒険者としても一流の腕前を持っている	自分の欲望に乏しく、教義にのみ生きてきた	"\"""	Lv40 クルックー	Lv42 ランス			
													Lv45 クルックー	Lv37 ロードリング			
													Lv50 クルックー	Lv38 アルカネーゼ			
													タイニー クルックー	Lv28 サチコ			
													全裸 クルックー	Lv46 アム			
Lv50 クルックー	クルックー・モフス	５０	１７歳	１４９ｃｍ	？？	ＡＬ教法王	神魔法３、冒険１	ＡＬ教の中枢で生まれ育ち、教義に殉じることだけが	己の存在意義であると理解していたクルックーは	法王となって神の真実を知り、その意味を失った	彼女の脳裏に欲望のまま生きるという	ランスの言葉が残響する	Lv40 クルックー	Lv42 ランス			
													Lv45 クルックー	Lv37 ロードリング			
													Lv50 クルックー	Lv38 アルカネーゼ			
													タイニー クルックー	Lv28 サチコ			
													全裸 クルックー	Lv46 アム			
タイニー クルックー	くるっくー・もふす	４０	１７	１４９せんちめーとる	？？	ほうおう	かみまほう３、ぼうけん１	ようこそ まよえるこひつじよ	ほんじつはきょうかいに どんなごようですか？	なかまをいきかえらせてほしいのですか？むりです	"\"""	"\"""	Lv40 クルックー	タイニー ランス			
													Lv45 クルックー	タイニー パステル			
													Lv50 クルックー	タイニー ピグ			
													タイニー クルックー	タイニー ミラクル			
													全裸 クルックー	タイニー 志津香			
全裸 クルックー	クルックー・モフス	４０	１７歳	１４９ｃｍ	？？	ＡＬ教法王	神魔法３、冒険１	司教の時代から、男に、魅力的に見えなくする	「男除け指輪」を装備していたがランスに見つかって	指輪をはずされ、処女を奪われた	以後もランス以外の前では指輪をつけておくように	言われ、それに従っている	Lv40 クルックー	Lv42 ランス			
													Lv45 クルックー	Lv37 ロードリング			
													Lv50 クルックー	Lv38 アルカネーゼ			
													タイニー クルックー	Lv28 サチコ			
													全裸 クルックー	Lv46 アム			
Lv37 ロードリング	ミ・ロードリング	３７	３３歳	１７６ｃｍ	６６ｋｇ	ＡＬ教司教	聖魔法１、工作１、神魔法０	誰よりも女神ＡＬＩＣＥを敬愛する信仰心篤き男	女神ＡＬＩＣＥに対する愚直なまでの忠誠心で	司教まで駆け上がった	冒険中に出会った人間に勢いでヒーリングをかけ	そのまま走り去っていく	Lv37 ロードリング	Lv40 クルックー			
													Lv31 ロードリング	アリス			
													Lv26 ロードリング				
													Lv18 ロードリング				
Lv18 ロードリング	ミ・ロードリング	１８	３３歳	１７６ｃｍ	６６ｋｇ	ＡＬ教神官	聖魔法１、工作１、神魔法０	数年前には豊かにあった毛髪だが	短期間で後退してきた	"\"""	彼なりに気苦労があるのかもしれない	恋愛とか	Lv37 ロードリング	Lv40 クルックー			
													Lv31 ロードリング	アリス			
													Lv26 ロードリング				
													Lv18 ロードリング				
Lv26 ロードリング	ミ・ロードリング	２６	３３歳	１７６ｃｍ	６６ｋｇ	ＡＬ教司祭	聖魔法１、工作１、神魔法０	はーーーーーーーーーーーーーーーーーーーーーーーー	ーーーーーーーーーーーーーーーーーーーーーーーーー	ーーーーーーーーーーーーーーーーーーーーーーーーー	ーーーーーーーーーーーーーーーーーーーーーーーーー	ーーーーーーーーーーーーーーーーーーーーーーーっ！	Lv37 ロードリング	Lv40 クルックー			
													Lv31 ロードリング	アリス			
													Lv26 ロードリング				
													Lv18 ロードリング				
Lv31 ロードリング	ミ・ロードリング	３１	３３歳	１７６ｃｍ	６６ｋｇ	ＡＬ教司教	聖魔法１、工作１、神魔法０	ＡＬ教司教として、天与の才能はほぼ無し	ヒーリングも実は低レベルのものしか	使えないのだが、根性でカバーしている	１秒間に１６発のヒーリング	"\"""	Lv37 ロードリング	Lv40 クルックー			
													Lv31 ロードリング	アリス			
													Lv26 ロードリング				
													Lv18 ロードリング				
Lv28 サチコ	サチコ・センターズ	２８	１６歳	１５２ｃｍ	？？	応用学生	ガード０、パン１	貧しいながらごく普通の家庭に生まれ	ごく普通に育ってきたごく普通の女の子	"\"""	ひょんなことからランスの冒険に巻き込まれ	無理やりガード職をやらされることになった	Lv28 サチコ	Lv55 ＢＳ			
													Lv49 サチコ	Lv40 クルックー			
													全裸 サチコ	Lv38 アルカネーゼ			
Lv49 サチコ	サチコ・センターズ	４９	１６歳	１５２ｃｍ	？？	応用学生	ガード０、パン１	最初は無理やり付き合わされただけだったが	次第に冒険者の道にも魅力を感じはじめるサチコ	ただの重荷だった呪盾「ヒロシくん」は	今や欠かせない相棒。ありがとうヒロシくん	"\"""	Lv28 サチコ	Lv55 ＢＳ			
													Lv49 サチコ	Lv40 クルックー			
													全裸 サチコ	Lv38 アルカネーゼ			
全裸 サチコ	サチコ・センターズ	２８	１６歳	１５２ｃｍ	？？	応用学生	ガード０、パン１	旅行に来たＣＩＴＹで危ないところをランスに助けられ	お礼と称してセックスの約束をさせられてしまう	"\"""	その後良い様に使われ長い冒険に付き合わされた挙句	結局処女を奪われてしまった	Lv28 サチコ	Lv55 ＢＳ			
													Lv49 サチコ	Lv40 クルックー			
													全裸 サチコ	Lv38 アルカネーゼ			
Lv44 セル	セル・カーチゴルフ	４４	２２歳	１５９ｃｍ	？？	ＡＬ教神官	神魔法ＬＶ１	レッドの教会を営む敬虔なＡＬ教信者。とにかく真面目な	堅物で不道徳なランスにいつも説教をしている	正式なフルネームは「セル・セッテントマイ・	カリフラジリスティック・パイポノシューリンガン・	カーチゴルフ」	Lv44 セル	魔剣 カオス			
													酒乱 セル	Lv22 サーナキア			
													処女 セル	Lv40 クルックー			
													全裸 セル				
全裸 セル	セル・カーチゴルフ	４４	２２歳	１５９ｃｍ	？？	ＡＬ教神官	神魔法ＬＶ１	ランスとは短くない付き合いだが、そのお堅さから	未だ純潔を守り通している。ただし、お酒に弱く	酔った隙にランスにアナルセックスされたことがある	"\"""	また、カオスには何度かエロ触手で悪戯されたことも	Lv44 セル	魔剣 カオス			
